Ingridient;Emissions CO2 (per Kg);Water footprint (litres per kg)
Beef;68,8;15.415
Mutton;64,2;5.301
Goat;64,2;8.763
Offals;35,9;8.763
Coffee;10,1;18.925
Pork;7,9;5.988
Chicken;5,4;4.325
Turkey;5,4;4325
Squid;5,4;0
Octapus;5,4;0
Calamari;5,4;0
Crab;5,4;0
Lobster;5,4;0
Shrimp;5,4;0
Demersal Fish;5,4;0
Fish;5,4;0
Seeafood;5,4;0
Cod;5,4;0
Sea Bass;5,4;0
Sea beam;5,4;0
Red scarlet;5,4;0
Eggs;4,9;3.265
Olive Oil;4,5;14726
Olives;4,5;3015
Seasame Seeds;4,2;9371
Seasame Oil;4,2;21793
Rice;3,9;2172
Barley;3,8;1423
Beer;3,8;298
Purses;3,8;300
Legumes;3,5;300
includes alfalfa;3,5;300
clover;3,5;300
lupins;3,5;300
mesquite;3,5;300
carob;3,5;5594
tamarind;3,5;300
Beverages;3,5;300
Cocoa Beans;3,4;15636
Palm Oil;3,3;4971
Purlses;3,3;300
Sunflower Oil;3,3;6792
Pomento;3,2;300
Vegetable Oil;3,2;300
Rape Oil;2,9;300
Mustard Oil;2,9;300
Rape seeds;2,9;300
Mustard Seeds;2,9;2809
Pepper;2,5;300
Fermented Beverages;2,4;300
Cream;2,4;300
Oil crops;2,4;2.364
Coconut Oil;2,1;4490
Coconuts;2,1;2687
Soyabeans;2;2145
Cashews;2;14218
Walnuts;2;5293
Nuts;2;9.063
Pinapple;1,9;255
Tea;1,9;300
Milk;1,8;1.020
Butter;1,8;5.553
Ghee;1,8;300
Cereals;1,8;1.644
Soyabean Oil;1,8;2145
Plantains;1,6;1602
Spices;1,6;300
Vegetables;;300
Tomatos;1,5;214
Groundnuts;1,4;300
Bananas;1,4;790
Peas;1,2;595
Dates;1,1;2277
Honey;1;0
Oat;1;1788
Rye;1;1544
Wheat;1;1827
Wine;1;300
Fruits;1;967
Ground Oil;1;300
Beans;0,8;5053
Grapefruit;0,8;506
Grapes;0,8;608
Apple;0,7;822
Maize;0,7;300
Citrus;0,7;300
Lemons;0,6;642
Limes;0,6;642
Orange;0,6;560
Mandarin;0,6;748
Onion;0,5;272
Maize germ oil;0,4;300
Potato;0,4;287
Starchy roots;0,4;300
Parsnips;0,4;300
Turnips;0,4;195
Jicama;0,4;300
Sugar;0,1;210
Aquatic plants ;0;300
Mollusks;0;300
Local apple;0,55;300
Asparagus;7,6;2150
Local asparagus;0,5;2150
Carrots;0,3;195
Local Carrots;0,25;195
Baby Carrots ;1;195
Cheese;12;1411
Cod;2,8;0
Cod;3,2;0
Fish general;2,6;0
Fish Filleted;6,5;0
Herring;1,3;300
Lamp leg;19;5301
porridge bowl with milk;0,3;1
porridge bowl with water;0,082;1
Rice Bag avarage;4;2172
Rice efficiently produced;2,5;2172
Rice nefficient production;6,1;2172
Mackerel;0,5;0
Orange;0,5;560
Shellfish;2,6;0
Shrimp;10,1;0
Steak;2;15000
Strawberries;0,6;347
Strawberries;1,8;347
Organic Tomatos;0,4;215
Tomato avarage;9,1;215
Tomatos;50;214
Cherry Tomatos;50;215
Trout;5;0
Trout fresh;6,9;0
bottled water;0,4;1
bottled water;1,04;1
garlic;0,95;589
celtic salt;1;300
cinnamon;1,6;15526
black cumin;1,6;7,048
zaatar;1;300
sage;1,6;7,048
calendula;1;300
parsley;0,15;7048
basil;1,6;322
mint;1,6;288
sorrel;1,6;322
sumac;1,6;300
ashwagandha;0,4;387
bay leaves;1,6;300
ginger;0,4;1657
harissa;1,6;300
corriander;1,6;8280
cayenne pepper;1,6;7365
chervil;1,6;322
chili;1,6;7365
cilantro;0,2;322
cloves;1,6;61.205
cumin;1,6;7048
curry;1,6;7048
garam masala;1,6;7048
dandelions;1,6;300
saffron;1,6;7048
nettle;1;322
garden cress;1;322
tarragon;1,6;7048
nigella;1;300
achiote;1;300
hawaiian salt;1;300
dill;1,6;300
lemon balm;1;300
ginseng;0,4;387
nutmet;1,6;34319
thyme;1,6;7048
oregano;1,6;7048
mimalayan salt;6;300
barley grass;1;1423
wild celery;1;300
hops;1;300
peppercorn;2,5;7611
turmaric;0,4;1657
hyssop;1;300
milk thistle;1;300
anise;1,6;8280
myrtle;1;300
savory;1;300
lemongrass;0,007;322
cardamon;1,6;34319
green onions;0,5;272
sea salt;1;0
peppermint;1;288
rosemary;1,6;300
chamomile;1,6;300
nutmeg;1;34.319
Chocolate;;17.196